dissolved_oxygen,ph,ammonia,temperature,tds,label
0.208152598,4.751657407,0.286053503,67.44872482,10.1271479,2
11.43446267,3.085153682,0.096039616,64.626666,94.01559521,2
12.43086468,9.648515123,0.974500937,65.12184179,90.65346229,2
10.9635289,4.819988393,0.884864944,1.640333731,0.066343956,2
1.361735949,10.2440335,0.801695182,64.86343428,2.11917304,2
12.70411438,12.7131079,0.671318023,3.010154052,10.47246808,2
14.78591157,10.47409301,0.171307744,70.59909209,4.41147529,2
0.715907355,1.490192331,0.470119543,80.86069376,96.61070195,2
2.210647298,0.047966668,0.052925402,81.2048433,11.51948888,2
8.636760293,0.00394431,0.652312619,1.098150753,10.59156013,2
1.994206109,13.65265653,0.668194585,13.83315477,92.04123199,2
1.805773298,5.113364891,0.211429388,12.25748487,9.293092876,2
10.362915,4.244166442,0.926786858,3.723096689,81.14551972,2
10.91009493,13.34525246,0.199760897,75.78924067,97.40295585,2
0.550941129,4.805931599,0.604847713,60.66068053,87.80017332,2
1.613781947,1.865212166,0.697605507,10.87120196,4.126149297,2
0.527349253,2.855633945,0.908869859,83.63112341,98.82639003,2
9.97874854,12.99453399,0.687828393,62.16093863,95.23312884,2
14.30042714,0.066369919,0.581108995,80.49865038,9.711625445,2
2.667779574,5.534901367,0.07405922,3.804169115,86.06515397,2
1.250833179,12.48274385,0.77187546,74.82526782,82.16275827,2
8.426618773,2.191996533,0.423654981,3.759315786,1.344602149,2
0.944782248,11.67463608,0.476446771,78.97302781,1.646988856,2
14.79908503,4.875673071,0.266904452,64.00343834,12.31779432,2
2.161094111,4.955025846,0.810418533,4.967443187,81.7525237,2
9.60908615,9.9628462,0.919129803,6.428057795,84.36236989,2
2.62805939,4.969777324,0.727001365,10.09279019,90.28720056,2
11.64167581,3.577347875,0.992242377,63.77576503,8.535398671,2
1.72077133,0.22848233,0.206126098,0.880102477,5.238734598,2
1.317099146,12.82237471,0.751545712,9.379408176,11.70141866,2
0.841765032,0.286045598,0.216786233,2.816614017,10.00763483,2
10.96408374,1.377888455,0.302438594,72.75785602,0.177769903,2
0.974125892,4.514127307,0.299653182,67.84545282,94.65631962,2
10.40875834,0.287929359,0.081515814,0.777843203,10.52227065,2
1.230821858,1.673951423,0.416038264,14.59386626,85.44638607,2
0.753178414,1.017581754,0.065198263,0.411089101,12.21942997,2
0.727763527,13.34155926,0.380673967,68.45293571,86.31998271,2
1.22025328,11.69785617,0.530014294,65.26336007,13.20568295,2
2.772252976,10.4413266,0.556263703,80.05352324,0.051423501,2
11.10706199,14.07707451,0.432738198,0.849194232,93.38339735,2
12.10881201,4.607599698,0.187067704,82.17542477,12.71137502,2
0.635671042,12.42703156,0.860222992,72.07417767,90.76332982,2
13.81758197,14.13047484,0.872378962,72.26841583,5.552652655,2
2.911572426,5.893997497,0.098827205,82.76913598,2.238753755,2
